Date,ticker,target,asset_class,model,used_ml,alpha,band_q_lo,band_q_hi,resid_q_lo,resid_q_hi,resid_fit_n,band_scale,band_scale_fallback,cap_lo,cap_hi,pred_pct_center,pred_pct_lo_uncapped,pred_pct_hi_uncapped,pred_pct_lo_capped,pred_pct_hi_capped,op_pct,y_true_pct,pred_price_center,pred_price_lo_uncapped,pred_price_hi_uncapped,pred_price_lo_capped,pred_price_hi_capped,op_price,abs_err_pct,mae_valid,p95_valid,covU_valid,covC_valid,mae_test,p95_test,covU_test,covC_test,touchC_valid,touchOp_valid,touchC_test,touchOp_test
2026-03-06,000001.SS,target_best_entry,other,"baseline_qroll_a0.12_cal(+0.012,0.846)",False,0.12,0.02,0.98,-0.05471009451751494,0.07317856755816425,757,1.1807048320770264,False,-0.210871412878064,0.0,-0.13373977582962437,-0.20550167601818897,-0.03775322878811058,-0.20550167601818897,-0.03775322878811058,-0.0761478476047161,,3559.0880790756246,3264.2495116722325,3953.4552285707546,3264.2495116722325,3953.4552285707546,3795.7083687727027,,0.04665822111999844,0.07455134712546242,0.9444444444444444,0.9444444444444444,0.01211147533997575,0.025998158183570323,1.0,1.0,1.0,1.0,1.0,1.0
2026-03-06,000001.SS,target_best_sale,other,"baseline_qroll_a0.90_cal(-0.020,0.902)",False,0.9,0.02,0.98,-0.18728751061221455,0.10883232801728204,757,0.6556227207183838,False,0.0,0.25,0.2403021950590479,0.1038916522550222,0.31957003780485777,0.1038916522550222,0.25,0.15845586937663247,,5095.864537834045,4535.412697604387,5421.541772340389,4535.412697604387,5135.7086181640625,4759.59343369625,,0.033444898814912485,0.07935799291657382,0.8666666666666667,0.8666666666666667,0.022085812081542967,0.048072447704104564,1.0,1.0,0.9666666666666667,0.9555555555555556,1.0,1.0
2026-03-06,399001.SZ,target_best_entry,other,"baseline_qroll_a0.15_cal(+0.011,0.847)",False,0.15,0.02,0.98,-0.07450570480328944,0.13380141728659506,757,1.2201683521270752,False,-0.25,0.0,-0.1639868589806904,-0.2491880303971516,-0.010977938118870378,-0.2491880303971516,-0.010977938118870378,-0.0721815064635984,,11778.455251091436,10578.069592505024,13934.173431778638,10578.069592505024,13934.173431778638,13071.886159503756,,0.0671279990714047,0.12793740792312225,0.9777777777777777,0.9777777777777777,0.023847485829622157,0.04913973578563168,1.0,1.0,1.0,1.0,1.0,1.0
2026-03-06,399001.SZ,target_best_sale,other,"baseline_qroll_a0.92_cal(-0.025,0.893)",False,0.92,0.02,0.98,-0.21412864786732366,0.16906754859325718,757,0.6766045093536377,False,0.0,0.25,0.25,0.11421682965670049,0.3572090445571132,0.11421682965670049,0.25,0.16853009779402028,,17611.0498046875,15698.02246424413,19121.500863254125,15698.02246424413,17611.0498046875,16463.233400421475,,0.054430047618375076,0.11227647896913223,0.8444444444444444,0.7888888888888889,0.06534456523982772,0.15651155987672363,0.7555555555555555,0.7555555555555555,0.9888888888888889,0.9888888888888889,1.0,1.0
2026-03-06,ABCB4.SA,target_best_entry,equity_br,"baseline_qroll_a0.12_cal(+0.005,0.765)",False,0.12,0.02,0.98,-0.06153549032820539,0.06778731926101315,757,0.6507861614227295,False,-0.22750169255394062,0.0,-0.15184110917823646,-0.1998148867755873,-0.0989933336782195,-0.1998148867755873,-0.0989933336782195,-0.12013244387822627,,21.924907651289526,20.684785482097464,23.291022668124793,20.684785482097464,23.291022668124793,22.744576661390685,,0.021105273118527335,0.05227321078622828,0.8555555555555555,0.8555555555555555,0.03551536523253885,0.05567872807890223,0.5,0.5,1.0,1.0,1.0,1.0
2026-03-06,ABCB4.SA,target_best_sale,equity_br,"baseline_ewmgauss_a0.85_cal(+0.005,0.700)",False,0.85,0.02,0.98,-0.14272188961295448,0.11240633975489589,757,0.5323138236999512,False,0.0,0.26,0.14748163252730498,0.05646971298943361,0.21916171451796998,0.05646971298943361,0.21916171451796998,0.09287448080458216,,29.66240063856034,27.30974248378807,31.515330785362814,27.30974248378807,31.515330785362814,28.250805745696976,,0.03914564531463262,0.06925924288234767,0.9333333333333333,0.9333333333333333,0.08738664299566762,0.1733437240097841,0.28888888888888886,0.28888888888888886,1.0,1.0,0.6888888888888889,0.3888888888888889
2026-03-06,ABEV3.SA,target_best_entry,equity_br,"baseline_qroll_a0.12_cal(+0.008,0.757)",False,0.12,0.02,0.98,-0.07706988879250583,0.08062456260811954,757,1.281104326248169,False,-0.17573666130570503,0.0,-0.11372313802629726,-0.17573666130570503,-0.01438040125142212,-0.17573666130570503,-0.01438040125142212,-0.05411749596137218,,13.551173185769136,12.60298641719262,15.070123627267352,12.60298641719262,15.070123627267352,14.462543450668065,,0.03610712881311261,0.07963540953742118,0.9888888888888889,0.9888888888888889,0.02554233153763164,0.04388279508745756,1.0,1.0,1.0,1.0,1.0,1.0
2026-03-06,ABEV3.SA,target_best_sale,equity_br,"baseline_ewmgauss_a0.82_cal(+0.003,0.700)",False,0.82,0.02,0.98,-0.13269056714040398,0.22569162253735583,757,2.6391961574554443,False,0.0,0.3,0.1859703041990835,0.0,0.4190675485932572,0.0,0.3,0.0743881216796334,,18.13348590596281,15.289999961853027,21.697542763857772,15.289999961853027,19.876999950408937,16.42739433949694,,0.08859011233386056,0.14089661237889164,1.0,1.0,0.16138365479731856,0.24061375284535183,1.0,0.23333333333333334,1.0,1.0,1.0,0.7333333333333333
2026-03-06,AGRO3.SA,target_best_entry,equity_br,"baseline_qroll_a0.12_cal(+0.009,0.830)",False,0.12,0.02,0.98,-0.057985630475004594,0.06968800895329409,757,0.5894646644592285,False,-0.23180164011010296,0.0,-0.16702932370438453,-0.21839941513099873,-0.10529196977818077,-0.21839941513099873,-0.10529196977818077,-0.12998691134866228,,17.667307281622573,16.57774768949481,18.97675650187512,16.57774768949481,18.97675650187512,18.4529768137741,,0.020470031720330358,0.05934163021079605,0.9222222222222223,0.9222222222222223,0.013854464625953895,0.04042005172114001,0.8777777777777778,0.8777777777777778,1.0,1.0,1.0,0.9777777777777777
2026-03-06,AGRO3.SA,target_best_sale,equity_br,"baseline_qroll_a0.88_cal(+0.001,0.700)",False,0.88,0.02,0.98,-0.12654440304286688,0.09710485487240322,757,0.500023365020752,False,0.0,0.26,0.18070546661844053,0.08560877273315912,0.25367867156886,0.08560877273315912,0.25367867156886,0.1236474502872717,,25.04276186600898,23.02576107576579,26.590523476198413,23.02576107576579,26.590523476198413,23.83256139186307,,0.03124916461707339,0.05968742152211898,0.9888888888888889,0.9888888888888889,0.029772309404778433,0.08276015329177587,0.6333333333333333,0.6333333333333333,1.0,1.0,0.8888888888888888,0.7555555555555555
