Date,ticker,signal,rank,confidence,close,entrada,stop,alvo,RR,stop_pct,alvo_pct,win_rate,regime
2026-03-26,TRXF11.SA,hold,55.6,60.0,91.7,91.5057,89.6756,94.2509,1.5,2.0,3.0,72.0,neutro
2026-03-26,RAIZ4.SA,hold,54.8,51.9,0.55,0.5221,0.4664,0.6526,2.3,10.67,25.0,64.5,desfavoravel
2026-03-26,IGTI11.SA,hold,54.6,22.9,27.0,26.4982,25.4946,29.8,3.3,3.79,12.46,42.9,favoravel
2026-03-26,BBSE3.SA,hold,54.0,58.2,34.64,34.3225,33.636,35.58,1.8,2.0,3.66,66.1,favoravel
2026-03-27,CRO-USD,hold,53.2,41.6,0.0726,0.0725,0.0704,0.0825,4.7,2.9,13.79,50.0,desfavoravel
2026-03-26,RBRF11.SA,hold,53.2,49.6,6.65,6.65,6.517,6.8559,1.5,2.0,3.1,71.3,neutro
2026-03-26,MLAS3.SA,hold,52.9,30.1,1.31,1.2789,1.2168,1.39,1.8,4.86,8.69,44.8,favoravel
2026-03-26,VULC3.SA,hold,51.4,32.2,17.26,16.9996,16.4789,19.7,5.2,3.06,15.89,35.3,neutro
2026-03-26,IRIM11.SA,hold,51.2,56.7,63.52,63.2289,61.9643,65.2,1.6,2.0,3.12,68.3,neutro
2026-03-26,TCSA3.SA,hold,51.0,29.6,1.32,1.2829,1.2086,1.6036,4.3,5.79,25.0,11.1,neutro
2026-03-26,HAPV3.SA,hold,50.4,51.8,9.94,9.5879,8.8836,11.12,2.2,7.35,15.98,64.6,desfavoravel
2026-03-06,IRDM11.SA,hold,50.4,50.0,58.5,58.5,57.33,60.255,1.5,2.0,3.0,69.0,neutro
2026-03-26,HGLG11.SA,hold,47.4,48.5,156.34,155.6536,152.5405,160.3232,1.5,2.0,3.0,60.8,neutro
2026-03-26,KNHY11.SA,hold,47.4,45.5,99.59,99.2011,97.2171,102.1771,1.5,2.0,3.0,56.8,favoravel
2026-03-26,SYNE3.SA,hold,42.4,42.6,4.7,4.6318,4.4954,4.86,1.7,2.94,4.93,55.6,neutro
